Year,Species Group,Species Name,Pounds,Value
1980,Rockfish,"Rockfish, cowcod",98052.0,46407.0
1980,Roundfish,"Anchovy, northern",94677734.0,2286978.0
1980,Sharks,"Shark, shortfin mako",155327.0,99270.0
1980,Crabs,"Crab, Dungeness",15934778.0,9597375.0
1980,Roundfish,"Lizardfish, California",,
1980,Roundfish,"Sheephead, California",9102.0,3274.0
1980,Sharks,"Shark, unspecified",1158281.0,698624.0
1980,Sharks,"Shark, blue",192130.0,50782.0
1980,Other Mollusks,"Octopus, unspecified",129803.0,54887.0
1980,Roundfish,Thornyheads,3398383.0,757460.0
1980,Flatfish,"Sole, Dover",18046938.0,3506029.0
1980,Roundfish,"Smelt, whitebait",438094.0,119567.0
1980,Roundfish,"Surfperch, pile",,
1980,Roundfish,"Sardine, Pacific",,
1980,Roundfish,"Surfperch, redtail",36626.0,20210.0
1980,Bivalves,"Oyster, european flat",,
1980,Sharks,"Shark, bigeye thresher",,
1980,Roundfish,"Sculpin, staghorn",,
1980,Other Snails,"Limpet, unspecified",,
1980,Roundfish,"Greenling, kelp",3147.0,922.0
1980,Rockfish,"Rockfish, blackgill",,
1980,Roundfish,"Whitefish, ocean",1620.0,434.0
1980,Roundfish,"Smelts, true",106798.0,11736.0
1980,Roundfish,Dolphin (fish),4506.0,1444.0
1980,Rockfish,"Rockfish, copper (whitebelly)",,
1980,Flatfish,"Halibut, California",726550.0,1000982.0
1980,Roundfish,"Fish, unspecified",256764.0,88932.0
1980,Skates & Rays,"Skate, unspecified",155205.0,31233.0
1980,Rockfish,"Rockfish, Pacific ocean perch",27778.0,5020.0
1980,Sharks,"Shark, leopard",40019.0,15246.0
1980,Roundfish,"Bass, giant sea",38621.0,28682.0
1980,Flatfish,"Halibut, unspecified",,
1980,Roundfish,Triggerfish,,
1980,Rockfish,"Rockfish, brown",175478.0,93708.0
1980,Roundfish,"Surfperch, walleye",,
1980,Flatfish,"Sole, unspecified",34703.0,11538.0
1980,Rockfish,"Rockfish, group small",35608.0,19264.0
1980,Bivalves,"Oyster, giant Pacific",,
1980,Roundfish,"Surfperch, shiner",4940.0,1259.0
1980,Roundfish,"Smelt, surf",13690.0,3934.0
1980,Other Invertebrates,"Worms, marine",,
1980,Rockfish,"Rockfish, chilipepper",36336.0,7266.0
1980,Roundfish,"Surfperch, black",9086.0,1056.0
1980,Roundfish,"Smelt, night",1855.0,553.0
1980,Rockfish,"Rockfish, blue",79034.0,17144.0
1980,Roundfish,Opaleye,6133.0,4066.0
1980,Roundfish,"Croaker, white",1064127.0,281671.0
1980,Crabs,"Crab, spider",10053.0,4227.0
1980,Abalone,"Abalone, green",63230.0,139433.0
1980,Roundfish,Flyingfish,61333.0,24578.0
1980,Tunas,"Tuna, yellowfin",218089204.0,120943517.0
1980,Shrimp/prawns,"Shrimp, ghost",,
1980,Roundfish,"Grunion, California",,
1980,Flatfish,Turbot,21230.0,5828.0
1980,Tunas,"Tuna, skipjack, black",155751.0,22291.0
1980,Roundfish,"Bass, kelp",1498.0,1120.0
1980,Roundfish,Sargo,116.0,57.0
1980,Roundfish,"Surfperch, calico",,
1980,Bivalves,"Oyster, eastern",,
1980,Rockfish,"Rockfish, bocaccio",10050944.0,1718690.0
1980,Sharks,"Shark, brown smoothhound",5774.0,1218.0
1980,Shrimp/prawns,"Prawn, ridgeback",281639.0,198803.0
1980,Skates & Rays,"Ray, unspecified",,
1980,Shrimp/prawns,"Shrimp, ocean (pink)",3868215.0,1936754.0
1980,Lobster,"Lobster, California spiny",416015.0,1339049.0
1980,Roundfish,Silversides,16620.0,3803.0
1980,Rockfish,"Rockfish, black",51911.0,15107.0
1980,Flatfish,"Sole, English",4573510.0,1253806.0
1980,Rockfish,"Rockfish, widow",15423.0,1885.0
1980,Other Snails,"Snail, sea",33621.0,8738.0
1980,Abalone,"Abalone, white",1070.0,3490.0
1980,Roundfish,"Bass, striped",,
1980,Roundfish,"Surfperch, barred",8060.0,6822.0
1980,Skates & Rays,Stingray,,
1980,Roundfish,Grenadier,101868.0,10025.0
1980,Roundfish,Halfmoon,2465.0,1664.0
1980,Roundfish,"Scorpionfish, California",59158.0,48763.0
1980,Roundfish,Lingcod,2810717.0,616760.0
1980,Flatfish,"Sole, sand",356780.0,124307.0
1980,Flatfish,"Sole, butter",59786.0,12413.0
1980,Other Snails,"Whelk, Kellet's",,
1980,Sea urchins,"Sea urchin, red",22167116.0,3625151.0
1980,Roundfish,"Eel, wolf (wolf-eel)",120.0,25.0
1980,Flatfish,"Flounder, arrowtooth",122820.0,12321.0
1980,Sharks,"Shark, sixgill",,
1980,Kelp,"Kelp, giant",,
1980,Rockfish,"Rockfish, group bolina",39213.0,30608.0
1980,Abalone,"Abalone, threaded",70.0,43.0
1980,Roundfish,"Barracuda, California",66546.0,48551.0
1980,Roundfish,Grouper,,
1980,Sharks,"Shark, thresher",1805978.0,1218861.0
1980,Tunas,"Tuna, skipjack",327428169.0,178829943.0
1980,Roundfish,"Surfperch, rainbow",,
1980,Rockfish,"Rockfish, unspecified",24722725.0,5093010.0
1980,Flatfish,Sanddab,1280464.0,382371.0
1980,Rockfish,"Rockfish, yelloweye",49093.0,20760.0
1980,Sharks,"Shark, white",1660.0,837.0
1980,Roundfish,Eel,205.0,64.0
1980,Roundfish,"Blackfish, Sacramento",,
1980,Roundfish,"Mackerel, bullet",,
1980,Shrimp/prawns,"Shrimp, red rock",,
1980,Roundfish,"Salmon, Chinook",5677185.0,12528043.0
1980,Bivalves,"Scallop, unspecified",,
1980,Roundfish,Salmon,40718.0,69162.0
1980,Roundfish,"Cod, Pacific",,
1980,Sharks,"Shark, gray smoothhound",,
1980,Abalone,"Abalone, red",516771.0,910632.0
1980,Roundfish,"Mudsucker, longjaw",,
1980,Roundfish,"Shad, threadfin",,
1980,Crabs,"Crab, sand",,
1980,Tunas,"Tuna, unspecified",1270833.0,842888.0
1980,Roundfish,Carp,,
1980,Rockfish,"Rockfish, canary",,
1980,Crabs,"Crab, rock unspecified",1083979.0,767005.0
1980,Roundfish,"Salmon, coho",301356.0,399005.0
1980,Sharks,"Sharks, cow",438.0,215.0
1980,Other Snails,"Snails, moon",,
1980,Billfishes,Swordfish,1197152.0,3124475.0
1980,Sharks,"Shark, soupfin",192319.0,76871.0
1980,Sharks,"Shark, swell",,
1980,Roundfish,"Salmon, pink",,
1980,Flatfish,"Sole, petrale",2350504.0,1003184.0
1980,Rockfish,"Rockfish, bank",,
1980,Sharks,"Shark, spiny dogfish",15280.0,4537.0
1980,Roundfish,"Whiting, Pacific",1527990.0,108905.0
1980,Roundfish,Queenfish,1743.0,131.0
1980,Rockfish,"Rockfish, kelp",,
1980,Flatfish,"Sole, rock",1254.0,295.0
1980,Billfishes,"Marlin, striped",,
1980,Rockfish,"Rockfish, China",60501.0,16321.0
1980,Flatfish,"Flounder, unspecified",737616.0,195761.0
1980,Roundfish,"Mackerel, jack",53309657.0,4541150.0
1980,Abalone,"Abalone, pink",139049.0,268098.0
1980,Roundfish,"Surfperch, rubberlip",302.0,158.0
1980,Roundfish,"Surfperch, unspecified",103372.0,73804.0
1980,Roundfish,"Bonito, Pacific",14242618.0,2832496.0
1980,Sea cucumbers,"Sea cucumber, unspecified",,
1980,Tunas,"Tuna, bluefin",5370999.0,3269071.0
1980,Skates & Rays,"Guitarfish, shovelnose",,
1980,Roundfish,Butterfish (Pacific pompano),93723.0,74213.0
1980,Roundfish,"Seabass, totuava",,
1980,Roundfish,"Mullet, striped",46805.0,25383.0
1980,Roundfish,Wahoo,6749.0,2320.0
1980,Rockfish,"Rockfish, copper",3587.0,1443.0
1980,Roundfish,"Trout, rainbow (steelhead)",,
1980,Roundfish,Jacksmelt,17062.0,1831.0
1980,Skates & Rays,"Ray, bat",,
1980,Sharks,"Shark, sevengill",544.0,250.0
1980,Rockfish,"Rockfish, group bocaccio/chili",28442.0,7842.0
1980,Roundfish,Yellowtail,365170.0,158548.0
1980,Roundfish,Sablefish,10284920.0,1618563.0
1980,Shrimp/prawns,"Prawn, spot",213802.0,434907.0
1980,Freshwater species,"Crayfish, signal",502359.0,198477.0
1980,Roundfish,"Bass, rock",,
1980,Roundfish,"Mackerel, unspecified",122465.0,12038.0
1980,Shrimp/prawns,"Shrimp, brine",,
1980,Tunas,"Tuna, albacore",39060076.0,35365888.0
1980,Roundfish,"Shad, American",,
1980,Flatfish,"Turbot, diamond",,
1980,Rockfish,"Rockfish, vermilion",3223.0,1473.0
1980,Abalone,"Abalone, black",518621.0,585300.0
1980,Rockfish,"Rockfish, gopher",152531.0,116521.0
1980,Flatfish,"Sole, fantail",3817.0,1533.0
1980,Bivalves,Mussel,,
1980,Freshwater species,"Clam, freshwater",,
1980,Roundfish,Cabezon,60269.0,9956.0
1980,Roundfish,"Seabass, white",997351.0,1081550.0
1980,Sharks,"Shark, Pacific angel",112004.0,29510.0
1980,Rockfish,"Rockfish, group red",263829.0,127011.0
1980,Abalone,Abalone,490.0,1654.0
1980,Roundfish,Opah,,
1980,Bivalves,"Clam, softshell",,
1980,Shrimp/prawns,"Shrimp, bay",,
1980,Tunas,"Tuna, bigeye",2514647.0,1925367.0
1980,Flatfish,"Flounder, starry",3513.0,1289.0
1980,Roundfish,"Mackerel, Pacific",56743402.0,4806377.0
1980,Rockfish,"Rockfish, yellowtail",69379.0,17958.0
1980,Rockfish,"Rockfish, treefish",,
1980,Squid,"Squid, market",33917681.0,2656171.0
1980,Shrimp/prawns,"Shrimp, unspecified",8296.0,7043.0
1980,Flatfish,"Sole, rex",1899606.0,594023.0
1980,Rockfish,"Rockfish, splitnose",182497.0,23467.0
1980,Roundfish,"Herring, Pacific",17771466.0,14352762.0
1980,Sharks,"Shark, horn",,
1980,Rockfish,"Rockfish, starry",,
1981,Rockfish,"Rockfish, yellowtail",90725.0,26415.0
1981,Roundfish,"Salmon, coho",478115.0,800172.0
1981,Shrimp/prawns,"Prawn, ridgeback",192602.0,165912.0
1981,Rockfish,"Rockfish, gopher",118219.0,104631.0
1981,Rockfish,"Rockfish, copper",,
1981,Sharks,"Shark, soupfin",264908.0,130686.0
1981,Billfishes,Swordfish,1142877.0,3215206.0
1981,Tunas,"Tuna, bluefin",1912748.0,1127163.0
1981,Lobster,"Lobster, California spiny",478391.0,1607529.0
1981,Roundfish,"Mudsucker, longjaw",,
1981,Roundfish,"Mullet, striped",29654.0,20026.0
1981,Roundfish,Grouper,8314.0,2225.0
1981,Roundfish,"Bass, rock",,
1981,Bivalves,"Oyster, unspecified",,
1981,Rockfish,"Rockfish, splitnose",33751.0,4887.0
1981,Flatfish,C-O Sole,,
1981,Tunas,"Tuna, yellowfin",202697176.0,102737542.0
1981,Roundfish,Sargo,,
1981,Rockfish,"Rockfish, bocaccio",7819527.0,1419900.0
1981,Roundfish,Wahoo,10876.0,8866.0
1981,Sharks,"Shark, horn",,
1981,Roundfish,"Prickleback, monkeyface (eel)",,
1981,Roundfish,Carp,583.0,163.0
1981,Roundfish,Queenfish,373.0,91.0
1981,Rockfish,"Rockfish, black",56731.0,15142.0
1981,Roundfish,Yellowtail,367808.0,158792.0
1981,Skates & Rays,"Ray, bat",,
1981,Rockfish,"Rockfish, yelloweye",547551.0,279725.0
1981,Abalone,Abalone,112.0,462.0
1981,Rockfish,"Rockfish, shortbelly",,
1981,Shrimp/prawns,"Shrimp, bay",,
1981,Shrimp/prawns,"Shrimp, brine",,
1981,Crabs,"Crab, king",,
1981,Sharks,"Shark, leopard",51466.0,20851.0
1981,Rockfish,"Rockfish, grass",,
1981,Flatfish,"Sole, sand",439841.0,181710.0
1981,Flatfish,"Halibut, California",1262018.0,1874168.0
1981,Sharks,"Shark, Pacific angel",268581.0,87319.0
1981,Bivalves,"Scallop, unspecified",135831.0,28872.0
1981,Flatfish,Turbot,33769.0,8949.0
1981,Freshwater species,"Clam, freshwater",347735.0,90741.0
1981,Other Invertebrates,"Echinoderm, unspecified",32884.0,5171.0
1981,Other Snails,"Limpet, unspecified",,
1981,Roundfish,"Mackerel, Pacific",77726438.0,7192370.0
1981,Abalone,"Abalone, red",429991.0,930958.0
1981,Abalone,"Abalone, pink",94257.0,221607.0
1981,Rockfish,"Rockfish, copper (whitebelly)",3863.0,1799.0
1981,Roundfish,"Eel, California moray",,
1981,Rockfish,"Rockfish, speckled",,
1981,Other Snails,"Snail, sea",32941.0,9035.0
1981,Roundfish,Dolphin (fish),8344.0,2566.0
1981,Roundfish,"Surfperch, unspecified",111863.0,86348.0
1981,Tunas,"Tuna, bigeye",2574735.0,1251211.0
1981,Crabs,"Crab, Dungeness",10435417.0,9230350.0
1981,Roundfish,Opah,2989.0,1132.0
1981,Flatfish,"Sole, rock",7767.0,1765.0
1981,Rockfish,"Rockfish, group red",208.0,114.0
1981,Abalone,"Abalone, pinto",,
1981,Roundfish,"Whiting, Pacific",1467276.0,112693.0
1981,Shrimp/prawns,"Shrimp, unspecified",18840.0,23581.0
1981,Roundfish,"Smelt, surf",23716.0,4225.0
1981,Roundfish,"Blackfish, Sacramento",54052.0,30746.0
1981,Rockfish,"Rockfish, unspecified",25414120.0,5453492.0
1981,Sharks,"Shark, white",,
1981,Bivalves,Mussel,,
1981,Flatfish,"Flounder, unspecified",676955.0,170868.0
1981,Rockfish,"Rockfish, olive",2864.0,961.0
1981,Roundfish,"Shad, threadfin",,
1981,Sharks,"Sharks, cow",771.0,120.0
1981,Roundfish,"Mackerel, unspecified",290108.0,16821.0
1981,Roundfish,"Surfperch, walleye",,
1981,Roundfish,"Croaker, white",1044682.0,277669.0
1981,Roundfish,"Smelts, true",101642.0,10862.0
1981,Abalone,"Abalone, black",521007.0,695433.0
1981,Rockfish,"Rockfish, chilipepper",11780.0,4061.0
1981,Rockfish,"Rockfish, kelp",,
1981,Shrimp/prawns,"Prawn, spot",370505.0,773959.0
1981,Roundfish,"Cabrilla, spotted",,
1981,Roundfish,"Salmon, chum",,
1981,Rockfish,"Rockfish, Pacific ocean perch",22573.0,5014.0
1981,Sharks,"Shark, unspecified",598610.0,412081.0
1981,Rockfish,"Rockfish, group bocaccio/chili",,
1981,Roundfish,"Salmon, Chinook",5498893.0,13999655.0
1981,Freshwater species,"Crayfish, signal",558702.0,244890.0
1981,Skates & Rays,"Skate, unspecified",631415.0,73083.0
1981,Roundfish,"Bass, kelp",,
1981,Sharks,"Shark, dusky",,
1981,Roundfish,"Bass, giant sea",37899.0,33285.0
1981,Tunas,"Tuna, skipjack, black",39244.0,651.0
1981,Squid,"Squid, market",51829716.0,4383650.0
1981,Roundfish,"Trout, rainbow (steelhead)",,
1981,Tunas,"Tuna, albacore",20584680.0,17062353.0
1981,Rockfish,"Rockfish, blackgill",,
1981,Roundfish,"Smelt, night",,
1981,Roundfish,"Catfish, unspecified",,
1981,Roundfish,"Grunion, California",,
1981,Flatfish,"Sole, fantail",285.0,135.0
1981,Rockfish,"Rockfish, China",48089.0,13143.0
1981,Other Invertebrates,"Worms, marine",,
1981,Roundfish,"Smelt, whitebait",297791.0,79399.0
1981,Roundfish,Blacksmith,,
1981,Flatfish,"Sole, unspecified",22790.0,7950.0
1981,Roundfish,"Herring, Pacific",13136018.0,4466254.0
1981,Roundfish,"Bass, barred sand",,
1981,Roundfish,"Corbina, California",,
1981,Roundfish,Butterfish (Pacific pompano),75684.0,73980.0
1981,Other Invertebrates,"Crustacean, unspecified",,
1981,Flatfish,"Flounder, arrowtooth",105550.0,10556.0
1981,Roundfish,"Eel, wolf (wolf-eel)",107.0,31.0
1981,Roundfish,"Scorpionfish, California",56272.0,46335.0
1981,Rockfish,"Rockfish, cowcod",131299.0,70737.0
1981,Roundfish,"Seabass, white",775985.0,886035.0
1981,Skates & Rays,"Guitarfish, shovelnose",,
1981,Flatfish,"Sole, butter",27113.0,4663.0
1981,Roundfish,"Killifish, California",,
1981,Freshwater species,Hitch,,
1981,Roundfish,"Shad, American",771.0,442.0
1981,Abalone,"Abalone, threaded",,
1981,Flatfish,"Sole, rex",1727747.0,561612.0
1981,Flatfish,"Flounder, starry",5791.0,3630.0
1981,Roundfish,"Greenling, kelp",216.0,80.0
1981,Roundfish,Halfmoon,3263.0,1841.0
1981,Sharks,"Shark, smooth hammerhead",2259.0,866.0
1981,Sharks,"Shark, blue",203070.0,58922.0
1981,Rockfish,"Rockfish, starry",,
1981,Tunas,"Tuna, skipjack",127578862.0,52210178.0
1981,Bivalves,"Oyster, european flat",,
1981,Roundfish,Jacksmelt,5863.0,1356.0
1981,Sharks,"Shark, sixgill",,
1981,Other Mollusks,"Octopus, unspecified",84565.0,39159.0
1981,Roundfish,"Fish, unspecified",237372.0,85221.0
1981,Roundfish,"Whitefish, ocean",883.0,359.0
1981,Roundfish,Cabezon,64353.0,10221.0
1981,Roundfish,"Barracuda, California",67589.0,50310.0
1981,Abalone,"Abalone, white",162.0,541.0
1981,Other Snails,"Whelk, Kellet's",860.0,267.0
1981,Roundfish,Sablefish,14727473.0,2582429.0
1981,Sharks,"Shark, sevengill",4088.0,2460.0
1981,Crabs,"Crab, sand",,
1981,Rockfish,"Rockfish, vermilion",42834.0,25713.0
1981,Freshwater species,Sucker,,
1981,Roundfish,"Surfperch, barred",,
1981,Roundfish,"Surfperch, white",304.0,293.0
1981,Sea cucumbers,"Sea cucumber, unspecified",,
1981,Roundfish,"Sheephead, California",12900.0,4960.0
1981,Skates & Rays,Stingray,,
1981,Roundfish,Thornyheads,3876484.0,867129.0
1981,Crabs,"Crab, spider",10906.0,4780.0
1981,Roundfish,Salmon,47705.0,111780.0
1981,Roundfish,"Sculpin, staghorn",895.0,151.0
1981,Roundfish,"Anchovy, northern",115317479.0,3208358.0
1981,Rockfish,"Rockfish, widow",4967944.0,706774.0
1981,Sharks,"Shark, thresher",1974119.0,1408493.0
1981,Sharks,"Shark, shortfin mako",277339.0,160811.0
1981,Roundfish,"Sardine, Pacific",75813.0,6478.0
1981,Roundfish,"Surfperch, pile",,
1981,Bivalves,"Oyster, giant Pacific",,
1981,Other Mollusks,"Mollusk, unspecified",,
1981,Roundfish,Silversides,10817.0,2444.0
1981,Sharks,"Shark, spiny dogfish",19250.0,3817.0
1981,Rockfish,"Rockfish, brown",1420400.0,257575.0
1981,Flatfish,"Sole, English",3773231.0,1077339.0
1981,Roundfish,"Surfperch, shiner",,
1981,Roundfish,Eel,428.0,145.0
1981,Roundfish,Lingcod,2839757.0,659022.0
1981,Abalone,"Abalone, green",64003.0,172270.0
1981,Flatfish,Sanddab,942153.0,291456.0
1981,Crabs,"Crab, box",,
1981,Roundfish,Trawled fish for animal food,,
1981,Roundfish,"Salmon, pink",28222.0,22074.0
1981,Tunas,"Tuna, unspecified",4523287.0,3369021.0
1981,Sea urchins,"Sea urchin, red",26433985.0,4696042.0
1981,Roundfish,Flyingfish,,
1981,Shrimp/prawns,"Shrimp, red rock",2302.0,5190.0
1981,Roundfish,"Bonito, Pacific",16615259.0,4389655.0
1981,Roundfish,Grenadier,72438.0,7124.0
1981,Freshwater species,"Crayfish, unspecified",,
1981,Flatfish,"Sole, Dover",20418283.0,4376897.0
1981,Roundfish,"Surfperch, black",8555.0,2114.0
1981,Roundfish,Opaleye,5362.0,3624.0
1981,Roundfish,"Mackerel, jack",39193780.0,3479927.0
1981,Flatfish,"Sole, petrale",1775032.0,828117.0
1981,Skates & Rays,"Ray, unspecified",,
1981,Rockfish,"Rockfish, blue",90506.0,19835.0
1981,Sharks,"Shark, brown smoothhound",26876.0,6231.0
1981,Shrimp/prawns,"Shrimp, ocean (pink)",4165550.0,2022022.0
1981,Crabs,"Crab, rock unspecified",1375146.0,1028232.0
1981,Roundfish,"Surfperch, redtail",50016.0,33458.0
1981,Other Snails,"Snails, moon",,
1981,Rockfish,"Rockfish, flag",,
1981,Shrimp/prawns,"Shrimp, ghost",,
1982,Roundfish,Grenadier,98383.0,9870.0
1982,Roundfish,"Salmon, coho",551181.0,786705.0
1982,Sharks,"Sharks, cow",1327.0,1035.0
1982,Crabs,"Crab, rock unspecified",1277775.0,1008511.0
1982,Bivalves,Mussel,,
1982,Sharks,"Shark, soupfin",250592.0,146015.0
1982,Rockfish,"Rockfish, gopher",85982.0,75391.0
1982,Billfishes,Swordfish,1691126.0,4988052.0
1982,Roundfish,"Midshipman, plainfin",,
1982,Sharks,"Shark, swell",,
1982,Freshwater species,"Clam, freshwater",,
1982,Roundfish,"Salmon, pink",,
1982,Roundfish,"Trawled fish, unspecified",3366.0,829.0
1982,Rockfish,"Rockfish, bank",,
1982,Flatfish,Turbot,47357.0,8049.0
1982,Roundfish,Queenfish,4780.0,1102.0
1982,Abalone,"Abalone, threaded",,
1982,Roundfish,"Mackerel, Pacific",38948757.0,3135935.0
1982,Rockfish,"Rockfish, splitnose",198896.0,29618.0
1982,Other Invertebrates,"Invertebrates, colonial",,
1982,Roundfish,Grouper,10034.0,2947.0
1982,Shrimp/prawns,"Shrimp, unspecified",550.0,2530.0
1982,Abalone,"Abalone, pink",86282.0,211044.0
1982,Roundfish,"Surfperch, rubberlip",,
1982,Roundfish,"Herring, Pacific",23377744.0,9701111.0
1982,Abalone,"Abalone, black",633400.0,800779.0
1982,Roundfish,"Mackerel, jack",43248500.0,3580078.0
1982,Flatfish,Sanddab,1057608.0,325690.0
1982,Roundfish,Flyingfish,,
1982,Rockfish,"Rockfish, yelloweye",138968.0,29961.0
1982,Rockfish,"Rockfish, shortbelly",,
1982,Roundfish,Eel,135.0,50.0
1982,Other Invertebrates,Sea slug,,
1982,Roundfish,"Blackfish, Sacramento",,
1982,Sharks,"Shark, salmon",,
1982,Shrimp/prawns,"Shrimp, red rock",743.0,5751.0
1982,Roundfish,Yellowtail,75201.0,28710.0
1982,Bivalves,"Scallop, unspecified",,
1982,Roundfish,Sablefish,21018966.0,4800589.0
1982,Roundfish,"Goby, bluebanded",,
1982,Shrimp/prawns,"Prawn, spot",302228.0,842896.0
1982,Roundfish,"Catfish, unspecified",,
1982,Roundfish,"Mackerel, unspecified",40559189.0,3544594.0
1982,Roundfish,"Cod, Pacific",944262.0,90.0
1982,Sharks,"Shark, smooth hammerhead",1866.0,967.0
1982,Roundfish,"Shad, threadfin",,
1982,Sharks,"Shark, gray smoothhound",,
1982,Tunas,"Tuna, unspecified",111908.0,98797.0
1982,Rockfish,"Rockfish, widow",22654412.0,3049830.0
1982,Roundfish,"Surfperch, barred",6413.0,6125.0
1982,Skates & Rays,Stingray,,
1982,Other Invertebrates,"Echinoderm, unspecified",73271.0,11616.0
1982,Other Snails,"Snails, moon",,
1982,Sea cucumbers,"Sea cucumber, unspecified",139487.0,24980.0
1982,Roundfish,Halfmoon,652.0,384.0
1982,Other Invertebrates,"Spiders, sea",,
1982,Flatfish,"Sole, petrale",1745597.0,961268.0
1982,Flatfish,"Sole, butter",31095.0,7763.0
1982,Other Snails,"Whelk, Kellet's",550.0,140.0
1982,Roundfish,"Ratfish, spotted",,
1982,Other Invertebrates,Sponges,,
1982,Other Snails,"Limpet, unspecified",,
1982,Rockfish,"Rockfish, group bolina",58421.0,24429.0
1982,Roundfish,"Salmon, chum",,
1982,Roundfish,"Surfperch, shiner",,
1982,Sharks,"Shark, spiny dogfish",5744.0,909.0
1982,Flatfish,"Sole, rock",27815.0,8688.0
1982,Rockfish,"Rockfish, group small",,
1982,Rockfish,"Rockfish, honeycomb",,
1982,Kelp,"Kelp, giant",,
1982,Roundfish,Opaleye,9386.0,6479.0
1982,Algae,"Algae, marine",,
1982,Roundfish,"Fish, unspecified",208970.0,77386.0
1982,Billfishes,"Marlin, striped",,
1982,Roundfish,"Barracuda, California",73460.0,58907.0
1982,Rockfish,"Rockfish, greenspotted",23284.0,9213.0
1982,Roundfish,"Croaker, white",1331763.0,362043.0
1982,Roundfish,"Surfperch, rainbow",,
1982,Roundfish,"Surfperch, unspecified",269444.0,144721.0
1982,Other Chordates,"Lancelets, amphioxus",,
1982,Rockfish,"Rockfish, olive",2947.0,976.0
1982,Sharks,"Shark, white",8052.0,68.0
1982,Sharks,"Shark, shortfin mako",533818.0,334679.0
1982,Shrimp/prawns,"Shrimp, ghost",,
1982,Roundfish,Sargo,,
1982,Other Invertebrates,"Crustacean, unspecified",,
1982,Freshwater species,"Snail, freshwater",,
1982,Rockfish,"Rockfish, bocaccio",5443605.0,1160609.0
1982,Roundfish,"Surfperch, white",,
1982,Sea urchins,"Sea urchin, purple",,
1982,Shrimp/prawns,"Shrimp, ocean (pink)",4550188.0,2282644.0
1982,Roundfish,"Surfperch, redtail",79684.0,56369.0
1982,Flatfish,"Sole, Dover",22183697.0,4826060.0
1982,Roundfish,"Sculpin, staghorn",791.0,208.0
1982,Other Invertebrates,Barnacle,,
1982,Sharks,"Shark, horn",8363.0,2277.0
1982,Roundfish,Jacksmelt,8346.0,1471.0
1982,Roundfish,Salmon,89338.0,248711.0
1982,Roundfish,"Mudsucker, longjaw",,
1982,Rockfish,"Rockfish, blackgill",12078.0,3847.0
1982,Roundfish,"Mullet, striped",26215.0,16202.0
1982,Other Snails,"Snail, sea",29068.0,9277.0
1982,Skates & Rays,"Skate, unspecified",287794.0,53598.0
1982,Abalone,"Abalone, white",907.0,2650.0
1982,Roundfish,"Bass, giant sea",6994.0,7301.0
1982,Roundfish,"Croaker, unspecified",,
1982,Crabs,"Crab, king",,
1982,Flatfish,"Halibut, unspecified",1819.0,2625.0
1982,Roundfish,Lingcod,3037878.0,707983.0
1982,Freshwater species,"Crayfish, signal",302880.0,104059.0
1982,Rockfish,"Rockfish, group deepwater reds",,
1982,Sea urchins,"Sea urchin, red",19439274.0,3332980.0
1982,Roundfish,Trawled fish for animal food,,
1982,Shrimp/prawns,"Shrimp, coonstriped",,
1982,Roundfish,"Eel, wolf (wolf-eel)",203.0,42.0
1982,Roundfish,"Bass, kelp",,
1982,Freshwater species,"Frog, bull",,
1982,Flatfish,"Flounder, arrowtooth",106419.0,11001.0
1982,Roundfish,"Smelt, surf",28890.0,7557.0
1982,Other Invertebrates,"Worms, marine",,
1982,Roundfish,"Surfperch, walleye",793.0,448.0
1982,Abalone,Abalone,256.0,608.0
1982,Flatfish,"Sole, unspecified",8782.0,3345.0
1982,Rockfish,"Rockfish, chilipepper",57983.0,17127.0
1982,Tunas,"Tuna, bigeye",2133647.0,338833.0
1982,Rockfish,"Rockfish, blue",85882.0,18652.0
1982,Roundfish,Blacksmith,,
1982,Roundfish,"Surfperch, black",9587.0,960.0
1982,Hagfishes,Hagfishes,,
1982,Abalone,"Abalone, green",88696.0,277160.0
1982,Rockfish,"Rockfish, starry",4985.0,815.0
1982,Tunas,"Tuna, skipjack",92381839.0,32214730.0
1982,Rockfish,"Rockfish, cowcod",97149.0,58281.0
1982,Crabs,"Crab, box",,
1982,Roundfish,"Bonito, Pacific",6062625.0,1085056.0
1982,Tunas,"Tuna, yellowfin",136193647.0,57760175.0
1982,Rockfish,"Rockfish, grass",,
1982,Bivalves,"Oyster, eastern",,
1982,Sharks,"Shark, unspecified",280330.0,167993.0
1982,Rockfish,"Rockfish, copper",517.0,232.0
1982,Other Snails,"Snail, bubble",,
1982,Rockfish,"Rockfish, bronzespotted",,
1982,Roundfish,"Sheephead, California",11761.0,4800.0
1982,Sharks,"Shark, brown smoothhound",5336.0,2209.0
1982,Other Mollusks,"Octopus, unspecified",88902.0,43792.0
1982,Shrimp/prawns,"Prawn, ridgeback",129377.0,157853.0
1982,Rockfish,"Rockfish, group bocaccio/chili",5115932.0,928649.0
1982,Roundfish,"Sardine, Pacific",4010.0,387.0
1982,Roundfish,Triggerfish,,
1982,Roundfish,Thornyheads,4466341.0,977573.0
1982,Rockfish,"Rockfish, China",32547.0,9933.0
1982,Roundfish,"Smelt, whitebait",435856.0,115942.0
1982,Rockfish,"Rockfish, black",161295.0,35196.0
1982,Rockfish,"Rockfish, greenblotched",,
